Product Name,Total number of comments (backer only),Number of Negative Comment,Number of Neutral Comment,Number of Positive Comment,% of Negative Comment,% of Neutral Comment,% of Positive Comment,Overall Score,Number of creator comment
mobi-cork-and-brass-wallets,9,0,4,5,0,0.44,0.56,0.339677778,0
adalia-tara-debut-album-music-with-a-message,7,0,0,7,0,0,1,0.742657143,0
menagerie-2017,1,0,0,1,0,0,1,0.9753,0
otake-handmade-mackbook-laptop-leather-cover,30,5,11,14,0.17,0.37,0.47,0.289753333,0
cubefit-terramat-the-ergonomic-standing-desk-mat,35,5,8,22,0.14,0.23,0.63,0.311654286,15
masaaki-hatsumi-art-prints,3,0,0,3,0,0,1,0.571033333,0
the-music-never-stopped-epic-live-music-photos-by,5,0,0,5,0,0,1,0.88054,0
seven-kingdoms-decennium-limited-release,17,2,5,10,0.12,0.29,0.59,0.277547059,0
reflective-backpacks-combining-safety-and-style,50,6,9,35,0.12,0.18,0.7,0.3995,0
taller-nu-designing-for-style-and-society,46,1,7,38,0.02,0.15,0.83,0.63581087,0
the-world-is-what-you-render-it,0,0,0,0,0,0,0,0,0
franz-kline-mural-restoration,1,0,0,1,0,0,1,0.836,0
demon-espionage-0,50,5,6,39,0.1,0.12,0.78,0.467352,0
100-pairs-of-shoes-for-those-who-seek-different,1,0,0,1,0,0,1,0.7184,1
lightboard-14t,3,0,1,2,0,0.33,0.67,0.4789,0
introducing-the-secure-pocket-2-in-1-athletic-shor,7,0,3,4,0,0.43,0.57,0.409842857,0
wicub-wifi-temperature-and-humidity-sensor,8,0,2,6,0,0.25,0.75,0.3843875,0
eyeque-personal-vision-tracker-smartphone-vision-t,50,8,4,38,0.16,0.08,0.76,0.363898,0
welcome-your-neighbors-bumper-stickers,9,0,0,9,0,0,1,0.817355556,1
the-cloudylight-coolest-lamp-on-earth,19,3,8,8,0.16,0.42,0.42,0.250447368,0
nocked-true-tales-of-robin-hood,3,0,1,2,0,0.33,0.67,0.561633333,0
starlight-blossoms-bloom-brightest-visual-novel,50,12,7,31,0.24,0.14,0.62,0.340964,0
stand-up-comedy-special-washed-up-youtube-star,2,0,0,2,0,0,1,0.77665,0
wrath-of-anna-virtual-reality,7,1,3,3,0.14,0.43,0.43,0.001114286,0
the-deep-woods-0,18,2,6,10,0.11,0.33,0.56,0.331527778,0
shemfest-2017,0,0,0,0,0,0,0,0,0
bitdude,0,0,0,0,0,0,0,0,0
jungle-tea-empowering-african-communities,50,15,6,29,0.3,0.12,0.58,0.15754,0
spoonie-stuffies,1,0,0,1,0,0,1,0.8065,0
sherman-leader,50,15,10,25,0.3,0.2,0.5,0.11306,0
cgr-supreme-series-1-vol-1-6-by-classic-game-room,23,2,1,20,0.09,0.04,0.87,0.50016087,0
undermine,50,10,14,26,0.2,0.28,0.52,0.187334,0
tale-of-toys-handmade-wooden-toys,5,0,1,4,0,0.2,0.8,0.62244,0
adventures-the-tale-of-orwendale,2,1,0,1,0.5,0,0.5,-0.0949,0
piuma-super-minimal-titanium-brass-and-aluminum-fo,50,14,6,30,0.28,0.12,0.6,0.23682,0
animated-christmas-cards,1,0,0,1,0,0,1,0.8908,0
popcornball-microwavable,31,7,5,19,0.23,0.16,0.61,0.338548387,18
in-reverie-short-film-production-costs,3,0,2,1,0,0.67,0.33,0.110433333,0
the-gem-creates-a-space-for-art,2,0,0,2,0,0,1,0.93415,0
gamemate-the-universal-electronic-dice-and-game-cl,30,8,6,16,0.27,0.2,0.53,0.222736667,16
wingbrush-the-revolution-of-interdental-cleaning,50,14,5,31,0.28,0.1,0.62,0.324088,0
beelinguapp-read-and-listen-two-languages-in-paral,50,6,12,32,0.12,0.24,0.64,0.31743,0
me-and-eugene-new-ep-by-jameson-and-the-sordid-see,0,0,0,0,0,0,0,0,0
